,eps,id,require,if,then,else,end,global,local,function,return,do,while,integer,number,string,nil,int literal,num literal,sciNum literal,str literal,assign,colon,comma,(,)
<start>,,,1,,,,,,,,,,,,,,,,,,,,,,,
<req>,,,,,,,,,,,,,,,,,,,,,2,,,,,
<codeBody>,4,7,,,,,,6,,5,,,,,,,,,,,,,,,,
<fnCall>,,,,,,,,,,,,,,,,,,,,,,,,,9,
<fnRet>,10,,,,,,,,,,,,,,,,,,,,,,11,,,
<fnCallArgList>,12,13,,,,,,,,,,,,,,,13,13,13,13,13,,,,,
<nextFnCallArg>,14,,,,,,,,,,,,,,,,,,,,,,,15,,
<fnCallArg>,,16,,,,,,,,,,,,,,,17,17,17,17,17,,,,,
<ret>,19,,,,,,,,,,20,,,,,,,,,,,,,,,
<stat>,22,23,,25,,,,,24,,,,26,,,,,,,,,,,,,
<statWithId>,,,,,,,,,,,,,,,,,,,,,,28,,27,29,
<nextAssign>,,,,,,,,,,,,,,,,,,,,,,32,,31,,
<fnArgList>,34,35,,,,,,,,,,,,,,,,,,,,,,,,
<nextFnArg>,36,,,,,,,,,,,,,,,,,,,,,,,37,,
<retArgList>,39,40,,,,,,,,,,,,,,,,40,40,40,40,,,,40,40
<retNextArg>,41,,,,,,,,,,,,,,,,,,,,,,,42,,
<typeList>,44,,,,,,,,,,,,,45,46,47,48,,,,,,,,,
<nextType>,50,,,,,,,,,,,,,,,,,,,,,,,51,,
<type>,,,,,,,,,,,,,,53,54,55,56,,,,,,,,,
<idList>,,58,,,,,,,,,,,,,,,,,,,,,,,,
<nextId>,59,,,,,,,,,,,,,,,,,,,,,,,60,,
<newIdAssign>,62,,,,,,,,,,,,,,,,,,,,,63,,,,
<exprList>,,65,,,,,,,,,,,,,,,,65,65,65,65,,,,65,65
<nextExpr>,66,,,,,,,,,,,,,,,,,,,,,,,67,,
